,S15_NK_CD56dim,S15_NK_CD56bright,S16_NK_CD56dim,S16_NK_CD56bright,S17_NK_CD56dim,S17_NK_CD56bright,S15_Th1,S15_Th2,S15_Th17,S16_Th1,S16_Th2,S16_Th17,S17_Th1,S17_Th2,S17_Th17
RWDD2A,140,62,54,21,115,49,693,480,2,409,296,294,420,271,259
CLK1,15603,8896,11917,11388,10244,9645,12991,15954,12872,18635,13987,16012,20379,10994,11829
POLR3B,409,239,228,217,165,281,421,157,415,359,36,277,366,115,205
ANGEL1,1277,913,973,1370,798,1262,1566,1390,1,1015,1290,1162,2068,1689,1135
RNF14,2086,1210,1353,853,1000,1003,1442,1111,681,1060,633,1352,1396,639,1138
DNASE1L1,286,125,152,201,129,191,366,503,1,401,432,338,501,329,369
DDX11,991,1204,711,851,412,782,1722,1630,488,1252,1274,794,1501,1226,750
HEBP1,343,472,344,234,439,435,774,680,142,866,877,878,652,567,657
GPRC5A,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
MAMLD1,1,0,35,21,15,5,314,216,0,42,515,225,26,406,281
CD6,5004,1,5821,334,3234,16,26504,25443,22422,38337,22424,40038,34899,30865,39587
TACC3,692,508,212,337,347,639,4354,4246,3198,5468,3567,5365,5883,3455,4941
UFL1,1382,1015,835,884,865,1379,1212,1642,1991,1472,1313,1606,2229,1270,1474
POLA2,872,467,694,469,514,544,749,548,453,966,509,790,1091,698,677
ZC3H3,870,590,967,790,509,671,1440,1399,533,1425,945,1761,1107,1098,1227
CAPN1,6258,3138,5384,3467,4284,4866,4416,6347,7756,5834,6729,9258,4815,6474,7234
ACPP,0,0,0,49,137,0,0,0,0,0,0,0,1,0,0
MDH1,5701,3010,3491,2456,3637,2819,5556,6534,1128,6671,6937,7883,8034,5946,6862
SLC30A9,1480,1111,1224,957,1472,1728,2621,2254,3997,2134,1440,2994,2295,1516,2459
MTMR11,21,3,7,14,123,18,13,50,2,16,0,24,33,0,60
COX15,811,614,792,434,521,589,693,645,528,795,523,938,729,364,601
CCDC88C,6295,2143,5973,3159,3972,3694,6895,6272,6592,6529,4029,7941,6766,4628,6270
YAF2,1378,855,892,762,730,1025,954,1517,371,772,592,884,1107,538,886
ZMYND11,2459,1360,2716,1480,2023,2023,3959,2156,5,2218,1133,2549,1700,1724,2007
WAS,1000,563,1003,833,949,1207,1543,1418,955,1548,1401,1836,1085,1140,1798
DPEP1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
BID,3491,3736,1748,3245,4481,4340,1966,3339,1246,2051,2736,2172,2842,2739,2547
MATR3,104,83,257,218,279,224,280,270,148,324,205,325,462,286,142
NPC1L1,0,0,1,0,0,0,2,0,21,0,0,0,0,0,0
XYLT2,310,195,781,585,424,638,440,549,247,1117,705,1689,1264,871,1009
RGPD5,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0
STMN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDCD3,2809,1402,2333,1425,1430,1665,3048,3620,3123,3731,2975,3929,4538,2829,3316
ISL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHDH,3,0,2,0,0,0,0,1899,0,5,3614,464,0,893,165
IL20RA,0,1,0,0,0,0,0,0,145,0,0,0,6,0,0
CLCA1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CLCA4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
GLT8D1,2521,1910,1808,1448,1504,1934,2115,2709,1679,2087,1968,2569,1744,1775,1910
ATP2C1,1143,755,847,864,688,1302,1269,1973,1309,1068,995,1741,1885,623,1212
IGF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC38A5,752,399,684,308,429,562,1012,1250,962,1096,1181,1349,814,1103,1433
RALBP1,2447,1459,1361,999,1053,1289,1867,1559,2944,1616,1187,1740,1271,763,1402
RUFY3,512,801,386,1043,451,776,658,482,443,655,509,637,526,353,590
CNTN1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3
SLC11A1,122,114,49,91,2880,170,198,348,534,134,162,102,208,128,234
WWTR1,8,15,13,9,14,23,14,18,28,13,196,90,18,15,26
AGPS,1373,689,1285,1133,1388,1398,1201,1120,655,1354,1127,1798,1572,907,1329
ZNF806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXorf56,610,560,436,352,599,798,690,729,466,571,357,481,825,792,821
ATP1A2,0,1,0,0,0,1,0,0,34,0,0,0,1,0,0
TTC27,813,567,640,396,412,638,1263,1411,101,1050,865,1202,1652,1297,1020
ZNF582,137,178,191,214,60,127,170,191,0,336,157,212,119,4,95
VSIG2,0,11,0,24,3,44,40,135,0,161,327,229,69,184,119
PHLDB1,39,49,6,59,10,156,51,171,329,69,54,14,112,69,20
MARCO,0,0,1,3,116,6,0,0,0,0,0,0,0,6,0
CYP24A1,0,1,0,0,0,0,0,0,3,37,0,214,23,3,109
PRDM11,327,128,261,215,214,326,152,174,18,127,35,161,87,208,167
SYT13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SNAI2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD74,18462,38803,15930,55738,43143,62097,18568,16489,37021,46971,26293,56645,30158,26369,49980
HGF,0,0,0,0,113,0,0,0,0,0,0,0,0,0,4
ZRANB1,786,360,650,525,786,888,855,570,48,756,475,902,928,884,1021
NCDN,443,730,322,634,234,843,1097,1502,1129,1428,1310,1830,1634,1195,1611
ADGRA2,29,5,59,1,40,64,2,3,27,3,5,1,3,0,0
CCT8L1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFP64,497,385,476,299,248,285,540,561,1,483,512,414,448,222,338
MNAT1,1595,1485,942,910,724,883,977,891,1741,1014,986,1023,1204,788,889
SAMD4A,1,0,1,0,70,6,46,16,1036,38,36,37,96,34,47
RUNX3,50805,40882,44308,48482,41546,74378,16682,32427,17075,17211,22683,18016,19098,24643,20504
MRE11A,1467,609,1369,858,1102,1114,742,844,44,1181,1130,819,1037,693,676
PLEKHB1,216,37,235,150,143,74,3626,3246,2096,4318,2691,3424,3399,2928,3308
SERPINB1,5496,4172,4720,3771,4828,4785,7002,8119,3100,7898,7812,8873,9705,6916,7748
CYP3A43,0,4,1,0,0,0,0,0,4,0,0,0,1,0,0
SLC7A9,8,0,0,0,0,2,0,13,0,5,0,0,0,0,29
SPAST,564,215,677,495,679,599,477,677,38,599,278,753,389,501,607
NRXN3,1,0,4,0,0,1,5,0,18,0,0,0,0,0,0
OSBPL5,4574,1285,4516,2268,4652,3199,101,66,2,33,37,33,199,153,106
AQR,1385,716,1765,1242,1515,1722,2463,1893,272,1691,888,2193,1755,1131,1956
CPS1,0,0,0,0,0,0,1,1,0,2,13,17,0,0,11
C8B,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
FHL1,65,2461,74,2369,114,2909,2138,1247,2375,1893,793,1855,2543,1848,2103
RTFDC1,4376,4492,3385,3816,2687,4016,2947,4027,2604,4957,4350,4893,3918,2832,3628
GABRA1,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0
NLRP2,1322,476,593,599,487,683,86,218,22,117,40,25,343,8,112
SLC45A4,334,303,220,333,126,248,382,262,202,397,409,415,429,451,316
RNF10,6726,4533,6167,5905,5698,8174,7626,9478,2237,10077,9353,14685,11427,9030,10652
ZNF839,311,254,279,350,216,556,597,767,252,549,388,661,794,670,638
ZDHHC6,3571,2285,2240,1730,2444,2366,4701,4409,670,4127,2607,4247,5448,3765,4352
GRAMD1B,30,325,60,308,82,477,245,136,1,132,159,297,142,93,137
RNH1,5624,4524,4559,5556,4917,5890,5440,10522,9315,7710,11143,9815,6850,7656,7930
NDUFS1,2545,1546,1730,1690,1831,1711,2164,2322,2201,1951,1577,3154,2626,2379,3144
RB1CC1,1838,1880,2427,1755,2423,2542,2750,2264,803,1672,1853,2526,4555,2450,2660
ERP44,4828,3538,3820,4046,4398,4213,4419,6614,3449,5435,5511,6921,5695,4568,5836
ALAS1,1329,951,1030,673,1112,1363,668,814,0,726,659,1043,1210,1004,1125
BIRC3,396,1047,834,2370,898,1966,8427,10204,6379,11544,11771,15339,10951,8351,10427
AKAP11,502,550,460,437,567,797,703,1106,34,751,426,1135,1597,440,1126
GLRX2,408,401,214,294,359,350,191,324,753,232,289,296,443,212,294
SNAPC1,56,196,42,179,102,149,193,161,5,287,302,277,339,269,242
DERA,1445,1516,883,1136,997,1115,851,1022,303,972,539,1089,1068,640,956
STRAP,6817,5685,5504,5600,6855,7517,5750,7060,1532,9175,6931,9675,11763,8187,9617
ABCC2,33,68,57,126,124,82,261,19,21,85,30,145,99,239,107
DEF6,9100,4966,6510,5116,4654,5544,8556,8822,10165,11015,7878,10800,11773,7537,9556
PLEKHO1,1931,1535,1663,1658,2889,2682,2457,2827,3746,2287,2283,2489,3428,3356,3807
GCLM,1108,222,849,370,674,307,1061,1441,33,913,1023,853,1256,830,727
UBR2,2873,1773,2458,2511,3097,3142,2593,2332,3479,2157,2541,2396,4796,2892,2432
EHD2,0,0,0,0,0,0,0,0,0,15,15,0,1,1,0
DEPDC1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10
CCDC28A,1451,1351,1385,1573,1314,1790,1763,2029,1722,3037,2578,2858,4133,3079,2934
RRAGD,0,94,1,137,59,269,468,276,0,383,155,365,253,211,348
HSF2,1282,495,1079,830,1102,1201,1738,1469,1768,1806,836,1828,2406,1263,1474
PHF20,4143,3075,3271,3893,3833,3762,4360,6044,2309,4992,3864,5257,6070,4808,5190
HSD17B6,2,18,0,0,1,7,11,38,10,35,36,16,38,79,31
NR1H3,438,574,190,508,340,720,62,73,1259,73,140,170,81,71,166
TYMP,399,321,549,833,3578,605,988,1305,4504,1349,1339,2547,1248,1295,2690
NCAPH2,2245,1288,2211,2139,1614,1844,2615,2872,3004,3054,4064,3105,3482,2765,3166
TOMM34,920,805,500,642,608,1069,986,1255,1,1646,1046,1227,1745,1047,1489
SEC63,3171,1541,2169,2130,2860,2755,2660,3877,1341,2354,2719,2882,4338,2536,3434
KPNA6,2232,728,2286,1104,2096,1967,2328,2589,1160,2300,2014,2627,3827,2591,2956
VIM,1869,3861,2755,6202,3612,2683,12484,22498,21134,10973,20946,20366,12498,12177,23412
RTEL1.TNFRSF6B,26,4,62,19,41,39,46,167,2,77,45,77,165,120,73
FAS,1057,373,346,359,784,383,3620,5684,1101,2860,4465,5841,3850,2615,5040
RNASET2,1828,1470,953,1327,2358,1444,7200,7693,7406,8943,7945,10719,10215,7802,12311
CD44,6226,48190,7598,58162,8975,63564,40070,40877,15329,39304,31320,62380,43487,35572,47666
KCNG1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1
AGPAT4,1471,1661,522,1533,944,1668,286,918,740,134,191,840,686,545,645
SLAMF7,10426,2491,11122,2494,8289,2624,431,0,1,587,11,356,897,476,165
BTN3A1,6995,2978,5952,4594,5024,4867,5471,4884,2812,5856,3923,6457,7797,4436,5028
MIPEP,448,593,195,421,172,403,511,736,3,668,479,744,547,627,627
PRKCH,31685,11729,31620,13367,28447,17172,22070,10462,6146,21431,8710,27906,25807,15514,21644
INSRR,21,4,6,0,1,14,5,5,0,5,10,2,0,0,0
IFNGR1,16753,2038,11765,3087,15303,2990,2420,2906,4081,3013,3033,5789,4934,3372,3357
B4GALT7,620,675,490,668,434,569,600,1306,87,964,1000,929,997,763,831
SH2D2A,8422,2202,6935,1734,4658,1937,1456,3102,3975,1657,2085,2341,1841,1906,2119
VRK2,691,458,708,676,529,691,618,750,0,707,431,1030,845,966,586
TNFRSF1B,22388,3454,21230,3803,34113,6118,10742,9439,6511,12521,8632,25119,14095,13681,19455
VEZT,1156,763,746,1158,593,1376,1499,1051,156,1344,719,1615,1924,774,1340
POU2F2,422,332,340,308,1154,315,1168,1535,425,1066,1023,1167,1028,1007,1266
BRD9,1737,1426,1111,1563,931,1692,2201,2475,1095,2452,2453,2572,3058,2015,2930
SNX1,2572,1542,1821,1953,1637,1411,2266,2077,47,2888,2775,4145,2965,1967,2280
TBPL1,2313,1317,1486,1251,1794,1454,1582,1576,340,2116,1457,2093,2222,1886,2470
ARNTL2,0,0,0,22,0,28,0,71,4,19,27,139,3,90,5
BCLAF1,6054,5231,6878,6769,6253,8135,7388,7729,2997,7837,5223,9445,9709,6453,7885
SLC39A9,683,237,920,444,558,650,734,795,1053,596,832,950,704,626,881
ANK1,11,0,4,0,4,7,99,469,349,83,221,997,21,727,1081
IBSP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TFB1M,279,414,197,263,145,157,436,405,80,453,530,626,435,292,513
RABEP1,2591,1169,1810,1531,1656,1840,3002,1745,836,2196,1453,2441,3931,1595,2218
HMGB3,57,232,54,259,71,154,384,256,0,91,138,123,230,196,299
NUP160,2028,1522,1748,2442,1689,2220,3200,2806,234,3244,1935,2854,3721,2318,1918
BAK1,2517,1366,1183,1331,1414,1889,1107,1383,489,1839,1759,2416,2249,1895,2019
MUSK,0,1,0,7,0,14,0,0,0,0,0,0,1,0,0
IKZF2,497,268,1018,689,473,439,50,27,1493,57,65,662,69,25,693
GRN,2091,447,2058,1180,3082,1006,1287,1700,1020,2335,1679,2538,2235,2580,2653
FAM13B,1412,1431,985,1125,1195,1475,1486,1313,1378,873,710,768,1502,1174,964
ARHGAP31,187,387,210,576,386,641,259,302,0,322,148,743,276,118,518
CENPQ,60,23,80,52,49,131,110,116,0,40,49,58,51,6,104
SARS,7136,3676,4719,3896,4301,4146,5831,9486,4809,8108,9570,8147,9173,6521,6891
RANBP3,373,250,452,351,454,554,692,1017,1046,639,666,595,1115,946,837
ARID4A,3492,1960,2201,2607,2765,3273,4185,5160,3095,4131,3058,4225,6645,4255,3822
TSSC1,1822,1431,1278,937,1087,1220,1805,2178,112,1807,1280,2150,2399,1383,2671
PNPLA6,644,395,1069,874,786,1002,1253,1411,247,1120,1127,1373,1226,1108,1436
IFT88,597,597,329,469,419,790,730,1183,6,503,239,333,707,407,553
ALG1,976,377,524,281,386,443,353,454,1328,541,361,880,556,547,578
ZCCHC8,1420,885,1111,1279,1374,1269,1470,1684,788,1400,952,1797,2630,1203,1438
ABCF2,1639,1119,897,1206,774,1210,1767,1973,85,2209,1473,3032,1672,2032,2225
CHPF2,2248,854,1607,1206,1753,2752,1987,2811,689,1970,1623,2790,2127,3631,3141
LRRC7,36,9,27,40,47,21,14,26,0,35,14,35,23,39,38
FUT8,400,1170,336,1374,430,1769,1127,1092,283,865,1262,1198,1940,1234,1404
UBA6,848,861,746,648,652,845,1024,1438,550,811,802,1017,1753,993,1004
GAB2,16,96,14,70,279,127,120,1689,1,92,1182,188,107,749,286
ATP6V0A1,0,1,3,16,99,0,252,80,199,222,200,486,284,150,322
PIAS1,4639,3291,4452,2907,4633,4430,7022,4863,1251,5973,3366,6446,7800,5248,6014
SLC4A7,251,320,266,415,360,618,1038,1556,52,670,1298,1306,1728,989,1314
APBA2,4834,2031,4236,2355,4424,2913,3470,1407,1374,4035,1015,2325,4525,1527,2255
MAP2K3,8403,5412,7628,9121,8124,10737,3207,3558,3838,4340,2862,5538,4138,3833,5437
EFCAB1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0
TMSB10,34746,31559,32369,26887,29832,28949,64876,52334,148467,92775,79951,103302,80500,62560,129502
ASTE1,1162,721,991,1249,908,1286,1492,1573,1283,1448,893,1940,2218,1200,1676
RNF19A,4027,2650,4206,4226,3240,3462,4297,4639,4177,5451,5659,5895,6631,4662,4162
PEX3,596,348,365,400,356,480,497,776,5,663,418,757,411,524,513
GABARAPL2,4602,3777,2952,3142,2967,2884,6902,6731,7154,7855,6602,8567,8191,4070,7938
MYOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3YL1,784,1198,540,865,509,1135,1347,1491,661,1043,949,1000,2612,1410,2512
FAM136A,2595,2984,1916,3038,1613,3266,1652,3872,2114,2597,2377,2109,2466,2003,2146
VCL,4621,1314,8170,1722,3426,2200,1688,5016,13,1027,3024,6009,1751,2836,2346
DEPDC1B,46,0,25,44,48,32,33,2,0,35,0,26,7,4,104
DAPK2,295,51,267,33,201,7,23,19,0,70,58,101,7,40,60
NSMAF,1614,790,1342,1624,1491,1674,2844,2007,249,2530,1804,3262,2549,2268,2371
ADSS,2433,2156,2012,1234,2165,2188,2062,2010,346,1333,1231,2567,2535,1711,2139
STAP1,297,1251,450,922,150,1313,273,43,0,20,0,30,263,130,54
TIMP2,0,150,0,145,111,148,27,59,0,34,23,39,15,8,187
RFC1,1792,1425,1992,1910,1999,2180,2113,2316,1564,2262,1623,2967,3437,1310,2287
TBC1D23,918,672,833,601,781,840,710,965,132,807,941,832,1165,617,801
CUL3,1892,1434,1584,1898,1578,2024,2360,2257,609,2344,1941,2847,3853,1777,2245
MYOM2,40665,172,9308,192,7950,351,146,281,2,227,685,365,183,504,307
OTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CYP46A1,6,0,0,0,7,0,1,0,1,0,0,0,58,0,0
ZZZ3,1189,934,971,1091,831,1680,2371,2041,601,1649,1798,2773,2965,1674,1841
SLC18A1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
USP2,0,0,0,5,7,0,17,3,0,4,26,17,0,0,17
CASR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
TUBG2,241,33,355,139,304,130,556,734,0,849,435,720,825,440,684
RPL26L1,313,191,246,240,225,262,408,521,204,574,600,674,789,551,756
FLT4,34,0,22,0,0,0,921,0,13,561,311,228,721,126,125
NSUN2,3499,1685,1912,1388,1851,2436,2665,2411,309,2366,3100,2911,3156,2286,2396
FBXO42,1417,946,1554,1345,1828,1643,1995,2075,0,1526,1401,2511,2387,2564,1977
MFAP3,118,61,249,120,169,213,183,115,0,234,129,289,218,138,134
MRI1,718,407,370,499,387,777,779,968,198,1204,803,830,1402,935,1122
METTL1,122,305,130,467,83,199,216,708,0,595,854,623,162,408,266
HOXC8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
AGA,1062,712,702,570,1118,788,1075,1379,106,1345,1002,1653,1860,1398,1812
PI4K2B,187,187,237,212,229,314,437,489,55,349,171,562,535,262,396
BOD1L1,3532,2076,2467,2979,2957,2905,3277,5077,2660,4177,3688,4174,6541,4071,3568
MAT2B,14269,8287,9487,5662,9131,8456,12416,13389,5501,11867,8520,14684,14965,8804,12555
TLL1,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0
EDC4,1692,668,1610,1859,1099,2129,2127,2473,1,2917,3064,3241,3267,2909,2376
TRIO,87,292,239,283,373,588,19,20,10,29,205,23,55,42,32
VCAN,70,0,5,41,197,0,77,0,270,14,0,0,164,58,9
CLEC16A,1306,1095,1355,972,998,1453,1554,2299,411,2036,1247,2298,2455,2018,1674
MSR1,0,0,0,0,33,0,1,0,6,0,0,2,4,0,0
CDH1,0,0,0,98,0,0,38,199,0,172,547,44,0,163,11
SKIV2L2,1188,697,1872,1787,1603,1200,1753,1704,380,1426,914,1915,1597,895,1164
DNAH5,0,0,0,1,0,0,3,2,61,0,0,0,0,0,0
ZFYVE16,390,271,687,306,443,380,260,196,3,211,204,233,217,93,164
FAM65A,404,203,348,314,330,460,292,409,147,316,183,353,346,218,258
C6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RAI14,13,60,33,0,14,12,118,192,71,22,32,16,35,60,88
SOX30,14,0,0,0,0,0,8,9,0,44,48,37,39,23,28
PNKP,2210,1631,2002,1992,1314,1756,1517,2892,1921,2481,2984,2241,1612,1629,1854
BEST2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
PHLPP2,327,119,296,143,306,172,320,462,542,405,194,299,424,595,227
SPDL1,279,192,185,117,96,75,164,158,0,148,118,46,86,77,92
STAU2,1746,1226,1426,1448,1530,1808,1216,1235,1377,1177,690,1641,1511,969,1125
PQLC2,273,180,237,144,131,154,233,236,1,223,109,192,263,216,155
CTNS,448,193,319,229,244,307,241,308,0,307,440,467,242,410,442
RTN4R,101,5,19,0,37,40,43,6,0,21,56,92,67,22,77
PHF23,678,453,335,101,357,757,345,470,977,223,178,338,316,298,488
CDH10,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
INPP4A,5970,2100,6123,2943,4310,4823,4331,2926,530,3379,1835,5586,4643,2552,3471
RAB27B,648,118,561,224,281,194,79,67,178,30,60,45,74,8,12
PSMA4,7832,4497,4377,4280,5242,4885,4747,5304,6344,5851,4740,6702,9047,5276,6733
MYO16,0,0,0,1,1,1,167,517,4,1,49,100,86,265,471
LSG1,1223,827,1431,1488,1210,1388,1394,1613,580,1805,1555,2035,1806,1303,1712
PARP3,347,521,299,610,164,763,707,716,277,1337,1164,1145,968,502,1077
TNC,0,0,0,0,0,3,3,10,4,1,0,0,1,0,14
THAP3,878,519,479,383,559,566,610,683,797,685,763,555,1148,807,817
FAM65C,89,38,67,53,62,68,84,187,65,139,61,125,215,263,107
TDP1,1453,764,954,742,879,1184,2009,2203,1489,2547,1853,3011,3032,2122,2307
AIFM2,132,160,199,201,203,201,213,358,3,290,260,232,161,129,195
C2orf83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPATA7,109,66,160,116,83,82,241,372,0,277,165,276,90,127,173
MED17,2064,1193,823,1340,1455,1675,2215,2771,1271,2370,2007,2494,2752,2850,2057
RETSAT,749,295,359,262,259,344,495,669,283,406,468,706,986,695,804
CAPG,12,7867,47,8255,100,9533,850,4202,2762,703,4184,4068,1233,3663,4093
AP2S1,891,641,791,616,866,768,674,1028,395,1169,1113,1085,659,785,1278
USH2A,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0
ZPBP,0,23,4,0,0,13,0,7,1,19,0,0,3,0,0
TG,35,37,46,13,31,18,50,103,1,17,46,24,120,39,43
ADAM28,409,507,722,1284,518,577,0,0,0,0,0,6,0,0,1
BARX2,0,0,0,1,0,0,2,0,0,0,3,1,0,0,1
DCUN1D1,954,861,1008,1077,1152,1488,1113,1008,579,1138,760,1672,1482,1366,1169
JADE2,3733,1379,3050,1730,2493,2737,3865,3463,4664,4421,3192,4373,5608,2974,4411
ZIC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCP2,8138,4606,6077,4355,5778,6363,11219,8703,3855,8754,4788,11796,10203,6951,8925
TRIT1,154,283,104,321,232,375,363,389,0,721,377,454,647,237,494
ADRB1,6,0,14,0,2,0,1,0,0,8,0,0,0,0,0
GUCA2B,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0
CUL7,478,536,416,558,350,826,482,438,7,447,513,905,497,957,869
CTNNA1,1621,5,1048,62,1477,46,529,679,469,335,266,911,343,293,694
PHKA2,597,268,568,541,394,741,802,997,647,838,966,634,770,795,1001
CNTLN,22,3,52,1,97,12,0,0,2,2,1,9,58,4,6
EPHA3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
HSPA5,48086,22818,41828,35192,29912,27973,37019,53421,14707,48530,43016,48677,28339,31895,26291
DSG2,0,0,0,42,0,1,1,0,0,0,1,0,0,0,4
GEMIN8,336,333,292,349,171,372,591,479,0,732,585,1042,723,759,721
OFD1,2878,2499,2529,3109,2572,2707,4405,3220,3542,4865,3370,3587,6012,3490,3960
GPM6B,12,17,28,41,85,52,80,114,0,44,107,22,247,105,55
MAGEC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREX2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0
WDR37,2601,1191,1828,1206,1920,2288,1586,1360,1859,1873,655,1979,1985,1529,1308
YTHDC2,617,531,803,732,973,966,1741,1329,801,1631,791,1372,2471,750,1007
CTPS2,289,470,287,279,151,261,329,194,2039,589,229,415,426,84,280
ATP6V1H,1782,1509,1313,1007,1498,1678,1744,1616,102,2050,1404,2062,2257,1242,2126
POLR2B,3259,2116,2760,2209,3036,3255,4372,2857,1084,2222,1829,2907,4685,3130,3106
FAM214A,1798,905,1151,703,1064,1333,2385,1248,2727,1454,801,1634,2929,1287,1585
ARAP2,6132,5696,6636,7998,5032,9832,5149,2161,3387,4664,1585,4146,6321,3484,3444
TPR,4269,3258,3715,3477,2941,3961,9044,6208,5384,8768,3692,7871,11411,5159,7697
CP,7,0,0,0,0,0,0,0,0,7,0,0,2,0,0
KIAA0556,398,241,274,358,232,491,377,672,1526,420,587,344,396,219,517
DTNBP1,2973,2272,2043,2649,1699,2389,1525,1821,3441,2607,2056,2183,1403,1110,1651
XK,1,11,7,6,14,1,0,0,0,0,1,0,0,0,2
ANO2,0,0,0,0,0,2,1,0,3,0,1,0,1,0,5
C12orf4,457,304,370,396,333,498,608,512,1033,576,634,563,1095,650,450
SCML1,28,644,80,829,52,768,485,189,275,834,383,360,1195,428,357
WWC3,1303,805,1080,459,958,875,1683,2047,1600,1322,1215,1952,1999,1694,1773
ARHGAP6,0,8,3,0,9,4,2,0,52,0,0,0,0,0,0
FAM184B,2,1,3,8,2,15,1,8,5,9,0,10,17,7,10
MAP4,3672,2859,3544,3593,2786,4619,3328,5290,587,3085,4030,6582,4358,4571,6033
GOPC,1062,600,590,778,612,822,1073,1103,721,1204,698,1331,1191,925,1156
ROS1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
USP28,5050,1804,3902,1284,2754,1958,693,186,218,499,174,401,732,339,592
HDAC9,216,105,500,290,163,106,11,6,502,5,0,109,27,22,40
TSPAN17,2213,1316,1482,1030,1072,1577,1529,853,1,1920,813,1905,2572,1922,2046
NOP16,770,670,314,490,419,394,862,1493,4177,1208,1096,1273,1410,1093,1199
CC2D2A,55,109,49,125,87,17,14,1,482,11,0,42,40,14,1
RRM2B,559,400,574,468,719,610,695,284,1104,453,274,891,1053,355,645
ZNF800,3142,2190,3726,2894,3330,3628,3723,3561,1845,3132,2627,3902,4527,3415,4086
TNFRSF17,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0
SNX29,742,442,467,688,612,592,1339,1442,1924,915,701,961,1751,1254,1265
LMO3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
MRPS10,2562,1193,1679,1766,2131,1925,1953,2150,0,2007,1703,2762,2752,2085,2486
GUCA1A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RSF1,3258,1620,2070,1795,2429,2340,3366,3182,2664,3062,2410,3021,5003,2393,3192
VPS13D,2810,1446,2087,1521,2020,2593,4540,5782,1177,2457,3123,2959,4348,2679,2723
CELF2,7983,4309,8574,6076,7838,5646,8730,9657,3249,9256,7812,11887,11734,7718,11644
FAM120A,2899,1415,1512,1545,1871,1706,2745,3597,3256,2229,1797,2452,3631,1923,3302
R3HDM1,1059,739,888,976,852,1405,2012,1371,1118,971,950,1701,1474,1104,1339
COL9A2,17,3973,6,3239,103,2915,510,956,22,482,501,439,214,131,93
KITLG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ERCC8,141,500,394,376,220,431,417,607,1,492,501,555,388,344,515
ADAMTS6,7,0,7,0,1,0,96,15,402,50,12,33,44,50,36
H6PD,1796,922,2103,1013,1267,1956,1311,1445,306,1673,1245,2556,1917,1772,1671
VAMP3,2673,2101,2383,2642,3509,3220,2811,2882,3899,2903,2844,4151,4322,2681,3407
PER3,239,227,392,272,460,337,233,449,0,384,106,525,217,249,444
UTS2,186,103,206,152,190,114,30,303,0,25,202,288,69,190,160
TNFRSF9,119,299,460,173,162,350,0,0,0,215,0,387,74,1,299
EPN3,0,0,1,0,0,0,1,1,0,0,0,8,0,1,0
LTBP1,0,0,0,10,0,4,1,1,0,27,0,14,1,0,0
RCN1,679,317,325,243,389,403,171,367,309,479,394,610,431,201,458
ELN,4,0,8,5,2,2,2,0,1,0,1,2,0,0,2
RFC2,1660,1314,1068,851,849,937,560,778,2370,1412,1320,1290,1114,1381,1553
